"Ref id","Name","Location","Founder"
"1","20th Century Fox","Century City; LA","William Fox"
"2","Walt Disney Pictures","Burbank; CA","Walt Disney"
"3","Sony Pictures Releasing","Culver City; CA","Akio Morita"
"4","Warner Bros","Burbank; CA","Harry Warner"
"5","De Line Pictures","Burbank; CA","Donald DeLine"
"6","Columbia Pictures","Culver City; CA","Harry Cohn"
"7","Village Roadshow Pictures","Beverly Hills; CA","Roc Kirby"
"8","Marvel Studios","Burbank; CA","Avi Arad"
"9","Legendary Pictures","Burbank; CA","Thomas Tull"
"10","DC Entertainment","Burbank; CA","Malcolm Wheeler-Nicholson"
"11","Lucasfilm","San Francisco; CA","George Lucas"
"12","Pixar Animation Studios","Emeryville; CA","Edwin Catmull"
"13","Ingenious Media","London; UK","Patrick McKenna"
"14","Mid Atlantic Films","Burbank; CA","Adam Goodman"
"15","DreamWorks Animation","Glendale; CA","Steven Spielberg"
"16","Golden Mean","Santa Monica; CA","Tom Hanks"
"17","Patalex IV Productions Limited","Cheltenham; UK","Simon Charles Lower"
"18","Cine Bazar","Japan","Hideaki Anno"
"19","Lionsgate","Vancouver; Canada","Frank Giustra"
"20","Virtual Studios","United States","Benjamin Waisbren"
"21","Dune Entertainment","Los Angeles; CA","Brett Ratner"
"22","Summit Entertainment","Santa Monica; CA","Bernd Eichinger"
"23","Jerry Bruckheimer Films","Beverly Hills; CA","Jerry Bruckheimer"
"24","New Line Cinema","Burbank; CA","Robert Shaye"
"25","Universal Pictures","Universal City; CA","Carl Laemmle"
"26","Paramount Pictures","Hollywood; CA","Adolph Zukor"
"27","Skydance Media","Santa Monica; CA","David Ellison"
"28","Di Bonaventura Pictures","Los Angeles; CA","Lorenzo Di Bonaventura"
"29","NPV Entertainment","Los Angeles; CA","Joel Silver"
"30","Sony Pictures Releasing","Culver City; CA","Akio Morita"
